"","Class","Curated ID","Final ID (BLASTn)","Total reads","Total abundance","Ponte_Full_2020_MCE_Reads","Ponte_Full_2020_MCE_ASVs","Ponte_Full_2020_MCE_OTUs","Ponte_Full_2020_MCE_RRA","Fundação_Full_2020_MCE_Reads","Fundação_Full_2020_MCE_ASVs","Fundação_Full_2020_MCE_OTUs","Fundação_Full_2020_MCE_RRA","Prainha_Low_2021_MCE_Reads","Prainha_Low_2021_MCE_ASVs","Prainha_Low_2021_MCE_OTUs","Prainha_Low_2021_MCE_RRA","Barragem_Low_2021_MCE_Reads","Barragem_Low_2021_MCE_ASVs","Barragem_Low_2021_MCE_OTUs","Barragem_Low_2021_MCE_RRA","Ponte_Low_2021_MCE_Reads","Ponte_Low_2021_MCE_ASVs","Ponte_Low_2021_MCE_OTUs","Ponte_Low_2021_MCE_RRA","Fundação_Low_2021_MCE_Reads","Fundação_Low_2021_MCE_ASVs","Fundação_Low_2021_MCE_OTUs","Fundação_Low_2021_MCE_RRA","Prainha_Low_2021_Sterivex_Reads","Prainha_Low_2021_Sterivex_ASVs","Prainha_Low_2021_Sterivex_OTUs","Prainha_Low_2021_Sterivex_RRA","Barragem_Low_2021_Sterivex_Reads","Barragem_Low_2021_Sterivex_ASVs","Barragem_Low_2021_Sterivex_OTUs","Barragem_Low_2021_Sterivex_RRA","Ponte_Low_2021_Sterivex_Reads","Ponte_Low_2021_Sterivex_ASVs","Ponte_Low_2021_Sterivex_OTUs","Ponte_Low_2021_Sterivex_RRA","Fundação_Low_2021_Sterivex_Reads","Fundação_Low_2021_Sterivex_ASVs","Fundação_Low_2021_Sterivex_OTUs","Fundação_Low_2021_Sterivex_RRA","Prainha_Full_2022_MCE_Reads","Prainha_Full_2022_MCE_ASVs","Prainha_Full_2022_MCE_OTUs","Prainha_Full_2022_MCE_RRA","Barragem_Full_2022_MCE_Reads","Barragem_Full_2022_MCE_ASVs","Barragem_Full_2022_MCE_OTUs","Barragem_Full_2022_MCE_RRA","Ponte_Full_2022_MCE_Reads","Ponte_Full_2022_MCE_ASVs","Ponte_Full_2022_MCE_OTUs","Ponte_Full_2022_MCE_RRA","Fundação_Full_2022_MCE_Reads","Fundação_Full_2022_MCE_ASVs","Fundação_Full_2022_MCE_OTUs","Fundação_Full_2022_MCE_RRA"
"37","Actinopteri","Leporinus sp.","Leporinus steindachneri",3960,12392,3960,4,2,0.7013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Actinopteri","Lophiosilurus alexandri","Lophiosilurus alexandri",2499,2499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2499,1,1,1.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Actinopteri","Megaleporinus sp.","Megaleporinus garmani",10227,10227,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,0.0014,5,1,1,0.0017,62,1,1,0.0199,10108,2,1,4.2408,17,1,1,1.8182,NA,NA,NA,NA,25,1,1,0.0205,NA,NA,NA,NA,NA,NA,NA,NA
"40","Actinopteri","Moenkhausia costae","Moenkhausia costae",267344,267344,264618,25,2,46.862,2457,1,1,5.9342,14,1,1,0.0031,31,2,2,0.0043,221,2,2,0.0525,3,1,1,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Actinopteri","Myleus micans","Myleus micans",137,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,2,2,0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Aves","Nannopterum brasilianus","Nannopterum brasilianus",5,5,5,2,2,9e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Actinopteri","Odontostilbe sp.","Odontostilbe sp",10204,12019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,1,1,0.1385,NA,NA,NA,NA,9808,6,3,4.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Actinopteri","Odontostilbe sp.","Serrapinnus heterodon",1815,12019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1815,1,1,0.7615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Actinopteri","Oligosarcus argenteus","Oligosarcus argenteus",3944,3944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916,2,1,1.643,NA,NA,NA,NA,11,1,1,0.019,17,1,1,0.0139,NA,NA,NA,NA,NA,NA,NA,NA
"46","Actinopteri","Opisthonema sp.","Opisthonema libertate",530,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,1,1,0.1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Actinopteri","Oreochromis niloticus","Oreochromis niloticus",30858,39155,NA,NA,NA,NA,NA,NA,NA,NA,14324,2,2,3.1818,1285,2,2,0.1797,76,2,2,0.0181,282,2,2,0.0547,3306,2,2,1.1562,20,1,1,0.0064,11354,3,1,4.7636,27,1,1,2.8877,166,2,2,0.2862,18,1,1,0.0147,NA,NA,NA,NA,NA,NA,NA,NA
"48","Actinopteri","Oreochromis niloticus","Oreochromis sp.",8297,39155,NA,NA,NA,NA,NA,NA,NA,NA,5414,3,2,1.2026,2562,3,2,0.3584,181,2,2,0.043,140,2,2,0.0271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Mammalia","Oryctolagus cuniculus","Oryctolagus cuniculus",253,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2,2,0.0133,NA,NA,NA,NA,197,1,1,0.0689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Actinopteri","Pachyurus squamipennis","Pachyurus squamipennis",93,93,NA,NA,NA,NA,NA,NA,NA,NA,12,2,2,0.0027,12,1,1,0.0017,69,2,2,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Aves","Penelope pileata","Penelope pileata",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,0.0033,NA,NA,NA,NA,NA,NA,NA,NA
"52","Actinopteri","Piabina argentea","Piabina argentea",2269,2269,16,1,1,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247,1,1,0.9427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Actinopteri","Pimelodus sp.","Iheringichthys labrosus",42,7802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Actinopteri","Pimelodus sp.","Pimelodus albicans",32,7802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,2,0.0076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Actinopteri","Pimelodus sp.","Pimelodus fur",34,7802,NA,NA,NA,NA,NA,NA,NA,NA,27,2,2,0.006,NA,NA,NA,NA,7,1,1,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Actinopteri","Pimelodus sp.","Pimelodus maculatus",7539,7802,NA,NA,NA,NA,NA,NA,NA,NA,74,2,2,0.0164,NA,NA,NA,NA,15,1,1,0.0036,19,2,2,0.0037,99,1,1,0.0346,106,1,1,0.034,6932,2,1,2.9083,121,1,1,12.9412,88,1,1,0.1517,85,1,1,0.0695,NA,NA,NA,NA,NA,NA,NA,NA
"57","Actinopteri","Pimelodus sp.","Pimelodus mysteriosus",155,7802,NA,NA,NA,NA,NA,NA,NA,NA,11,1,1,0.0024,34,2,2,0.0048,110,2,2,0.0261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Actinopteri","Poecilia latipinna","Poecilia latipinna",91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,1,0.0038,15,1,1,0.0048,26,1,1,0.0109,12,1,1,1.2834,14,1,1,0.0241,13,1,1,0.0106,NA,NA,NA,NA,NA,NA,NA,NA
"59","Actinopteri","Poecilia reticulata","Poecilia reticulata",6417,6417,561,2,2,0.0993,18,1,1,0.0435,1979,2,2,0.4396,913,2,2,0.1277,163,2,2,0.0387,33,2,2,0.0064,18,1,1,0.0063,NA,NA,NA,NA,2732,2,2,1.1462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Actinopteri","Prochilodus sp.","Prochilodus argenteus",3078,48001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3078,3,1,1.2914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Actinopteri","Prochilodus sp.","Prochilodus harttii",43531,48001,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,0.002,NA,NA,NA,NA,53,3,2,0.0126,NA,NA,NA,NA,36,1,1,0.0126,50,1,1,0.016,43236,9,4,18.1397,61,1,1,6.5241,42,1,1,0.0724,44,1,1,0.036,NA,NA,NA,NA,NA,NA,NA,NA
"62","Actinopteri","Prochilodus sp.","Prochilodus vimboides",1392,48001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392,1,1,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Aves","Progne chalybea","Progne chalybea",19,19,NA,NA,NA,NA,NA,NA,NA,NA,19,2,2,0.0042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Actinopteri","Psalidodon sp.","Astyanax cf fasciatus",16205,325079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16193,4,1,6.7938,12,1,1,1.2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Actinopteri","Psalidodon sp.","Astyanax paranae",2840,325079,NA,NA,NA,NA,NA,NA,NA,NA,2840,2,2,0.6308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Actinopteri","Psalidodon sp.","Psalidodon rivularis",306034,325079,52816,10,2,9.3533,NA,NA,NA,NA,196122,8,3,43.5646,17605,4,2,2.4625,33913,5,2,8.0598,1083,4,2,0.2099,691,2,1,0.2417,3804,4,1,1.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Actinopteri","Pseudoplatystoma corruscans","Pseudoplatystoma corruscans",712,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,6e-04,709,1,1,0.2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Actinopteri","Pseudoplatystoma corruscans","Pseudoplatystoma reticulatum",6,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0.0103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Actinopteri","Pygocentrus nattereri","Pygocentrus nattereri",507,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,0.001,17,1,1,0.004,NA,NA,NA,NA,76,1,1,0.0266,82,1,1,0.0263,126,1,1,0.0529,83,1,1,8.877,58,1,1,0.1,58,1,1,0.0475,NA,NA,NA,NA,NA,NA,NA,NA
"70","Mammalia","Rattus rattus","Rattus rattus",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Actinopteri","Rhamdia quelen","Rhamdia quelen",42454,42454,NA,NA,NA,NA,238,1,1,0.5748,8797,2,2,1.9541,2506,2,2,0.3505,5020,4,4,1.1931,614,2,2,0.119,18246,2,1,6.3809,6991,3,1,2.244,15,1,1,0.0063,15,2,2,1.6043,12,1,1,0.0207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Actinopteri","Salminus sp.","Salminus brasiliensis",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0.0049,NA,NA,NA,NA,NA,NA,NA,NA
"73","Actinopteri","Salmo salar","Salmo salar",1885,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866,2,2,0.4435,19,1,1,0.0037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Actinopteri","Schizodon knerii","Schizodon knerii",31494,31494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,0.0035,15,1,1,0.0048,17,1,1,0.0071,20,1,1,2.139,31426,10,2,54.1837,6,1,1,0.0049,NA,NA,NA,NA,NA,NA,NA,NA
"75","Actinopteri","Serrasalmus brandtii","Serrasalmus brandtii",5766,5766,5745,2,2,1.0174,NA,NA,NA,NA,NA,NA,NA,NA,12,1,1,0.0017,9,1,1,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Actinopteri","Steindachnerina elegans","Steindachnerina elegans",1297,1297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828,2,2,0.2896,NA,NA,NA,NA,469,1,1,0.1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Actinopteri","Sternopygus macrurus","Sternopygus macrurus",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,1,1.2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Mammalia","Sus scrofa","Sus scrofa",48368,48368,970,4,4,0.1718,NA,NA,NA,NA,255,3,3,0.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45258,2,2,15.8275,547,1,1,0.1756,1270,2,1,0.5328,31,1,1,3.3155,18,1,1,0.031,19,1,1,0.0155,NA,NA,NA,NA,NA,NA,NA,NA
"79","Actinopteri","Synbranchus marmoratus","Synbranchus marmoratus",1596,1596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1596,1,1,0.5581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Actinopteri","Trichomycterus sp.","Trichomycterus sp.",262,262,NA,NA,NA,NA,NA,NA,NA,NA,262,2,2,0.0582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
